"","rank","port","economy","lon","lat","port_label","year","volume"
"59",9,"Jebel Ali (Dubai)","United Arab Emirates",55.0272904,24.9857145,"Dubai","2013[2]","13,641"
"60",10,"Tianjin","China",117.200983,39.084158,"Tianjin","2013[2]","13,010"
"61",11,"Rotterdam","Netherlands",4.4777325,51.9244201,"Rotterdam","2013[2]","11,621"
"62",12,"Port Klang","Malaysia",101.39283,2.999852,"Port Klang","2013[2]","10,350"
"63",13,"Kaohsiung","Taiwan",120.3014353,22.6272784,"Kaohsiung","2013[2]","9,938"
"64",14,"Dalian","China",121.614682,38.914003,"Dalian","2013[2]","10,860"
"65",15,"Hamburg","Germany",9.9936818,53.5510846,"Hamburg","2013[2]","9,302"
"66",16,"Antwerp","Belgium",4.4024643,51.2194475,"Antwerp","2013[2]","8,578"
"67",17,"Xiamen","China",118.089425,24.479834,"Xiamen","2013[2]","8,010"
"68",18,"Los Angeles","United States",-118.2436849,34.0522342,"Los Angeles","2013[2]","7,869"
"69",19,"Tanjung Pelepas","Malaysia",103.551035,1.362374,"Tanjung Pelepas","2013[2]","7,628"
"70",20,"Long Beach","United States",-118.1937395,33.7700504,"Long Beach","2013[2]","6,731"
"71",21,"Laem Chabang","Thailand",100.9158073,13.1040552,"Laem Chabang","2013[2]","6,032"
"72",22,"Ho Chi Minh City (Saigon)","Vietnam",106.6296638,10.8230989,"Saigon","2013[2]","5,542"
"73",23,"Bremen/Bremerhaven","Germany",8.5809424,53.5395845,"Bremen","2013[2]","5,831"
"74",24,"New York and New Jersey","United States",-74.0059413,40.7127837,"New York","2013[2]","5,467"
"75",25,"Yingkou","China",122.108231,40.266062,"Yingkou","2013[2]","5,301"
"76",26,"Tanjung Priok (Jakarta)","Indonesia",106.8714848,-6.1320555,"Jakarta","2013[2]","6,590"
"77",27,"Lianyungang","China",119.221611,34.596653,"Lianyungang","2013[2]","5,490"
"78",28,"Tokyo","Japan",139.6917064,35.6894875,"Tokyo","2013[2]","4,861"
"79",29,"Mumbai","India",72.8776559,19.0759837,"Mumbai","2013[2]","4,162"
"80",30,"Algeciras","Spain",-5.456233,36.1407591,"Algeciras","2013[2]","4,501"
"81",31,"Valencia","Spain",-0.3762881,39.46991,"Valencia","2013[2]","4,328"
"82",32,"Khor Fakkan","United Arab Emirates",56.3432629,25.3365669,"Khor Fakkan","2013[2]","3,800"
"83",33,"Jeddah","Saudi Arabia",39.2375507,21.2854067,"Jeddah","2013[2]","4,561"
"84",34,"Colombo","Sri Lanka",79.861243,6.9270786,"Colombo","2013[2]","4,306"
"85",35,"Santos","Brazil",-46.3288865,-23.9678823,"Santos","2013[2]","3,446"
"86",36,"Felixstowe","United Kingdom",1.351255,51.961726,"Felixstowe","2013[2]","3,740"
"87",37,"Manila","Philippines",120.9842195,14.5995124,"Manila","2013[2]","3,770"
"88",38,"Seattle/Tacoma","United States",-122.3088165,47.4502499,"Seattle/Tacoma","2013[2]","3,461"
"89",39,"Ambarli (Istanbul)","Turkey",28.7110539,40.9767748,"Istanbul","2013[2]","3,378"
"90",40,"Tanger-Med (Tangiers)","Morocco",-5.7155548,35.7239191,"Tangiers","2013[2]","2,558"
"91",41,"Savannah","United States",-81.0998342,32.0835407,"Savannah","2013[2]","3,034"
"92",42,"Balboa","Panama",-117.924131,33.607795,"Balboa","2013[2]","3,064"
"93",43,"Gioia Tauro","Italy",15.8988669,38.4262258,"Gioia Tauro","2013[2]","3,087"
"94",44,"Port Said","Egypt",32.3018661,31.2652893,"Port Said","2013[2]","4,100"
"95",45,"Salalah","Oman",54.1065864,17.0506675,"Salalah","2013[2]","3,340"
"96",46,"Keelung","Taiwan",121.7391833,25.1276033,"Keelung","2013[2]","2,642"
"97",47,"Vancouver","Canada",-123.1207375,49.2827291,"Vancouver","2013[2]","2,825"
"98",48,"Malta Freeport","Malta",14.537637,35.816287,"Malta Freeport","2013[2]","2,750"
"99",49,"Yokohama","Japan",139.6380256,35.4437078,"Yokohama","2013[2]","2,888"
"100",50,"Nagoya","Japan",136.906398,35.1814464,"Nagoya","2013[2]","2,709"
"101",1,"Shanghai","China",121.473701,31.230416,"Shanghai","2012[3]","32,529"
"102",2,"Singapore","Singapore",103.819836,1.352083,"Singapore","2012[3]","31,649"
"103",3,"Shenzhen","China",114.057865,22.543096,"Shenzhen","2012[3]","22,940"
"104",4,"Hong Kong","China",114.109497,22.396428,"Hong Kong","2012[3]","23,117"
"105",5,"Ningbo-Zhoushan","China",121.9880433,29.9016199,"Ningbo/Z-shan","2012[3]","16,670"
"106",6,"Busan","South Korea",129.0756416,35.1795543,"Busan","2012[3]","17,046"
"107",7,"Qingdao","China",120.382609,36.067108,"Qingdao","2012[3]","14,503"
"108",8,"Guangzhou","China",113.264385,23.12911,"Guangzhou","2012[3]","14,744"
"109",9,"Jebel Ali (Dubai)","United Arab Emirates",55.0272904,24.9857145,"Dubai","2012[3]","13,270"
